"countryname","change"
"Afghanistan","Viaggi Aumentati"
"Burkina Faso","Viaggi Aumentati"
"Bahrain","Viaggi Aumentati"
"Burundi","Viaggi Aumentati"
"Central African Republic","Viaggi Aumentati"
"Cote d'Ivoire","Viaggi Aumentati"
"Cameroon","Viaggi Diminuiti"
"Colombia","Viaggi Aumentati"
"Algeria","Viaggi Aumentati"
"Egypt","Viaggi Aumentati"
"Georgia","Viaggi Aumentati"
"Guinea","Viaggi Aumentati"
"Honduras","Viaggi Aumentati"
"Haiti","Viaggi Aumentati"
"Iraq","Viaggi Aumentati"
"Iran","Viaggi Aumentati"
"Japan","Viaggi Aumentati"
"Kenya","Viaggi Aumentati"
"Kyrgyzstan","Viaggi Aumentati"
"North Korea","Viaggi Diminuiti"
"Lebanon","Viaggi Aumentati"
"Libya","Viaggi Aumentati"
"Mali","Viaggi Diminuiti"
"Mauritania","Viaggi Aumentati"
"Mexico","Viaggi Aumentati"
"Niger","Viaggi Aumentati"
"Nigeria","Viaggi Aumentati"
"Nepal","Viaggi Aumentati"
"Philippines","Viaggi Aumentati"
"Pakistan","Viaggi Aumentati"
"Russia","Viaggi Aumentati"
"Saudi Arabia","Viaggi Aumentati"
"Sudan","Viaggi Aumentati"
"El Salvador","Viaggi Diminuiti"
"Chad","Viaggi Aumentati"
"Thailand","Viaggi Aumentati"
"Tunisia","Viaggi Diminuiti"
"Turkey","Viaggi Diminuiti"
"Ukraine","Viaggi Diminuiti"
"Uzbekistan","Viaggi Aumentati"
"Yemen","Viaggi Aumentati"
