"countryname","deaths_num","pass_num","deaths_index"
"Indonesia","32",4,"8.00000"
"Tanzania","14",2,"7.00000"
"Cambodia","43",7,"6.14286"
"Iraq","18",10,"1.80000"
"Georgia","4",3,"1.33333"
"Bulgaria","8",7,"1.14286"
"Bangladesh","11",10,"1.10000"
"Libya","2",2,"1.00000"
"Mauritius","3",3,"1.00000"
"Kazakhstan","4",6,"0.66667"
"Rwanda","2",6,"0.33333"
"Togo","1",3,"0.33333"
"Papua New Guinea","3",10,"0.30000"
"Afghanistan","104",621,"0.16747"
"Malta","1",7,"0.14286"
"Moldova","1",7,"0.14286"
"Guinea","1",10,"0.10000"
"Mexico","1651",35924,"0.04596"
"Croatia","7",171,"0.04094"
"Thailand","189",5835,"0.03239"
"Vietnam","52",2591,"0.02007"
"Romania","12",603,"0.01990"
"Philippines","180",15156,"0.01188"
"India","93",9244,"0.01006"
"Haiti","221",23119,"0.00956"
"Honduras","99",10709,"0.00924"
"Costa Rica","184",21008,"0.00876"
"Pakistan","22",3308,"0.00665"
"Saudi Arabia","34",5423,"0.00627"
"Luxembourg","1",161,"0.00621"
"Jamaica","128",21034,"0.00609"
"Belize","68",12003,"0.00567"
"Latvia","5",942,"0.00531"
"Ecuador","59",11264,"0.00524"
"Germany","125",25044,"0.00499"
"Kyrgyzstan","1",205,"0.00488"
"Nigeria","32",6796,"0.00471"
"China","118",26428,"0.00446"
"Australia","81",19664,"0.00412"
"Dominican Republic","148",36020,"0.00411"
"Greece","54",13404,"0.00403"
"Guatemala","69",17400,"0.00397"
"Hungary","23",6272,"0.00367"
"Suriname","1",273,"0.00366"
"Switzerland","51",14002,"0.00364"
"Egypt","35",9608,"0.00364"
"Barbados","40",11090,"0.00361"
"Colombia","62",17869,"0.00347"
"Kuwait","21",6090,"0.00345"
"Malaysia","9",2700,"0.00333"
"Liberia","4",1202,"0.00333"
"Nicaragua","43",13548,"0.00317"
"Italy","67",21856,"0.00307"
"El Salvador","55",18425,"0.00299"
"Peru","49",16874,"0.00290"
"Paraguay","7",2561,"0.00273"
"Jordan","20",7412,"0.00270"
"Canada","104",40007,"0.00260"
"Portugal","20",8167,"0.00245"
"Spain","50",20683,"0.00242"
"Federated States of Micronesia","3",1281,"0.00234"
"Norway","17",7451,"0.00228"
"South Africa","21",9232,"0.00227"
"Bolivia","12",5496,"0.00218"
"Bermuda","15",7095,"0.00211"
"Brazil","58",28050,"0.00207"
"Netherlands","64",32231,"0.00199"
"Poland","22",11407,"0.00193"
"Uruguay","11",5927,"0.00186"
"Japan","70",39165,"0.00179"
"Grenada","8",4479,"0.00179"
"Ukraine","13",7300,"0.00178"
"New Zealand","42",23859,"0.00176"
"Austria","15",9044,"0.00166"
"Sweden","13",7856,"0.00165"
"Belgium","14",8520,"0.00164"
"Morocco","16",9854,"0.00162"
"Bahrain","4",2539,"0.00158"
"Ethiopia","15",9708,"0.00155"
"Singapore","16",10512,"0.00152"
"Czech Republic","11",7352,"0.00150"
"Panama","38",25713,"0.00148"
"Fiji","13",9082,"0.00143"
"France","64",47694,"0.00134"
"Cuba","26",21198,"0.00123"
"Israel","30",25877,"0.00116"
"Russia","24",21731,"0.00110"
"Guyana","11",10101,"0.00109"
"Ghana","5",4924,"0.00102"
"Marshall Islands","1",983,"0.00102"
"Taiwan","28",27558,"0.00102"
"Trinidad and Tobago","20",19782,"0.00101"
"Argentina","19",19405,"0.00098"
"United Arab Emirates","43",45564,"0.00094"
"Turkey","26",27902,"0.00093"
"Cayman Islands","9",10691,"0.00084"
"Qatar","13",16486,"0.00079"
"United Kingdom","53",67358,"0.00079"
"Serbia","1",1394,"0.00072"
"Uzbekistan","1",1473,"0.00068"
"Chile","10",16138,"0.00062"
"Angola","1",1644,"0.00061"
"Venezuela","15",25551,"0.00059"
"Senegal","3",5114,"0.00059"
"Denmark","7",12540,"0.00056"
"Dominica","1",2117,"0.00047"
"Ireland","8",22393,"0.00036"
"British Virgin Islands","3",8248,"0.00036"
"Finland","3",8686,"0.00035"
"South Korea","9",28434,"0.00032"
"Aruba","2",12837,"0.00016"
