country, date
AF,2010-05-25
AF,2010-08-13
AF,2010-08-13
AF,2010-08-13
AF,2010-08-13
AF,2011-03-8
AF,2011-03-8
AF,2011-03-8
AF,2011-12-1
AF,2011-12-1
AF,2012-06-27
AF,2016-06-22
AF,2016-06-22
DZ,2010-04-2
DZ,2010-04-2
DZ,2010-04-2
DZ,2010-04-2
DZ,2011-03-16
DZ,2011-03-16
DZ,2011-09-19
DZ,2012-05-4
DZ,2012-09-13
DZ,2016-03-1
BH,2011-03-14
BH,2011-03-22
BH,2011-04-12
BF,2011-04-19
BF,2011-04-19
BF,2011-04-19
BF,2016-01-20
BF,2016-01-20
BI,2010-05-19
BI,2010-05-19
BI,2010-05-19
BI,2010-11-4
BI,2010-11-4
BI,2010-11-4
BI,2011-06-1
BI,2011-11-25
BI,2012-04-18
BI,2012-11-8
BI,2016-03-11
CM,2015-12-22
CM,2015-12-22
CF,2010-02-26
CF,2010-12-6
CF,2010-12-6
CF,2010-12-6
CF,2011-01-14
CF,2011-07-28
CF,2012-01-4
CF,2012-07-11
CF,2016-04-14
CF,2016-04-14
TD,2009-11-23
TD,2010-07-9
TD,2010-12-8
TD,2010-12-8
TD,2010-12-8
TD,2011-08-16
TD,2012-03-29
TD,2012-11-21
TD,2016-04-18
CO,2010-03-5
CO,2010-03-5
CO,2010-11-10
CO,2010-11-10
CO,2010-11-10
CO,2011-07-22
CO,2011-07-22
CO,2012-02-21
CO,2012-10-3
CO,2016-04-5
CI,2010-05-12
CI,2010-10-20
CI,2010-12-4
CI,2010-12-19
CI,2010-12-19
CI,2011-03-2
CI,2011-04-5
CI,2011-04-9
CI,2011-04-14
CI,2011-06-16
CI,2011-06-16
CI,2011-12-16
CI,2012-04-23
CI,2012-11-16
KP,2010-08-27
KP,2010-08-27
KP,2010-08-27
KP,2011-11-3
EG,2011-01-30
EG,2011-02-6
EG,2011-02-18
EG,2011-03-29
SV,2016-01-15
SV,2016-01-15
ER,2010-03-2
ER,2010-03-2
ER,2010-09-24
ER,2010-09-24
ER,2010-09-24
ER,2011-02-27
ER,2011-02-27
ER,2011-11-4
ER,2012-04-18
GE,2010-05-3
GE,2010-05-3
GE,2010-05-3
GN,2009-10-17
GN,2010-06-16
GN,2010-12-3
GN,2010-12-3
GN,2010-12-3
GN,2011-11-4
GN,2012-09-7
HT,2011-01-20
HT,2011-01-20
HT,2011-08-8
HT,2012-06-18
HT,2010-03-15
HT,2010-06-24
HT,2010-06-24
HT,2010-12-9
HT,2010-12-9
HN,2012-11-21
IR,2010-03-23
IR,2010-03-23
IR,2010-10-8
IR,2010-10-8
IR,2010-10-8
IR,2011-10-21
IR,2012-04-27
IR,2016-01-29
IR,2016-01-29
IR,2016-03-14
IR,2016-03-14
IR,2016-03-14
IQ,2010-02-25
IQ,2010-11-5
IQ,2010-11-5
IQ,2010-11-5
IQ,2010-11-5
IQ,2011-04-12
IQ,2011-04-12
IQ,2011-09-13
IQ,2012-01-19
IQ,2012-08-9
JP,2011-03-16
JP,2011-03-18
JP,2011-03-21
JP,2011-03-30
KE,2010-03-16
KE,2010-03-16
KE,2010-12-28
KE,2011-11-4
KE,2012-04-4
KE,2012-07-5
KE,2016-06-30
KG,2010-04-20
LB,2010-03-29
LB,2010-03-29
LB,2010-10-8
LB,2010-10-8
LB,2011-04-4
LB,2011-04-4
LB,2011-04-4
LB,2011-10-12
LB,2012-05-8
LB,2012-09-17
LY,2011-02-21
LY,2011-02-25
LY,2011-07-19
LY,2011-08-23
LY,2011-09-22
LY,2012-09-12
LY,2016-06-9
LY,2016-06-9
ML,2009-11-19
ML,2010-08-6
ML,2010-08-6
ML,2010-08-6
ML,2011-02-9
ML,2011-03-2
ML,2011-03-2
ML,2011-10-4
ML,2012-04-9
ML,2012-08-29
ML,2016-02-26
ML,2016-04-21
ML,2016-04-21
MR,2009-12-2
MR,2010-08-2
MR,2010-12-8
MR,2010-12-8
MR,2010-12-8
MR,2011-03-11
MR,2011-03-11
MR,2011-10-12
MR,2012-05-24
MR,2016-02-23
MX,2010-03-14
MX,2010-04-12
MX,2010-05-6
MX,2010-07-16
MX,2010-09-10
MX,2010-09-10
MX,2010-09-10
MX,2011-04-22
MX,2011-04-22
MX,2011-04-22
MX,2011-04-22
MX,2011-04-22
MX,2012-02-8
MX,2012-11-20
MX,2016-01-19
MX,2016-01-19
MX,2016-01-19
MX,2016-04-15
NP,2009-11-19
NP,2010-06-15
NP,2010-06-15
NP,2010-06-15
NP,2011-01-12
NP,2011-01-12
NE,2010-05-11
NE,2010-05-11
NE,2010-05-11
NE,2011-01-12
NE,2011-08-5
NE,2012-04-6
NE,2016-01-21
NE,2016-01-21
NE,2016-01-21
NG,2010-05-24
NG,2010-06-15
NG,2010-10-19
NG,2010-10-19
NG,2010-10-19
NG,2011-04-15
NG,2011-04-15
NG,2011-10-13
NG,2012-01-12
NG,2012-02-29
NG,2012-06-21
NG,2016-02-5
KP,2012-09-11
KP,2016-05-16
KP,2016-05-16
PK,2010-01-7
PK,2010-07-22
PK,2010-07-22
PK,2011-02-2
PK,2011-02-2
PK,2011-02-2
PK,2011-02-2
PK,2011-08-8
PK,2012-02-2
PK,2012-08-27
PK,2012-09-19
PK,2016-04-7
PH,2010-04-2
PH,2010-04-2
PH,2010-11-2
PH,2010-11-2
PH,2010-11-2
PH,2011-06-14
PH,2011-06-14
PH,2012-01-5
PH,2012-06-14
PH,2016-04-21
SS,2011-07-12
SS,2011-12-22
SS,2015-12-31
SS,2015-12-31
RU,2010-08-10
SA,2010-02-18
SA,2010-02-18
SA,2010-02-18
SA,2010-12-23
SA,2011-08-5
SA,2012-05-18
SA,2012-11-19
SA,2016-04-11
SO,2009-12-31
SO,2009-12-31
SO,2010-12-27
SO,2010-12-27
SO,2011-08-19
SO,2012-06-15
SO,2016-05-24
SO,2016-05-24
SS,2012-09-10
SS,2012-09-10
LK,2009-11-19
LK,2010-05-26
SD,2009-12-31
SD,2010-10-1
SD,2010-10-1
SD,2010-10-1
SD,2011-01-7
SD,2011-06-22
SD,2012-01-11
SD,2012-09-7
SD,2012-09-15
SD,2016-01-21
SD,2016-01-21
SY,2011-03-31
SY,2011-04-3
SY,2011-04-25
SY,2011-04-25
SY,2011-08-5
SY,2011-09-30
SY,2011-12-21
SY,2012-01-11
SY,2012-03-6
SY,2012-08-28
SY,2012-08-28
SY,2012-08-28
SY,2016-03-31
SY,2016-03-31
TH,2010-05-15
TH,2010-05-27
TN,2011-01-16
TN,2012-09-15
TN,2012-10-19
TN,2016-04-1
TN,2016-04-1
TN,2016-04-1
TR,2016-02-29
TR,2016-03-17
TR,2016-03-17
TR,2016-03-17
TR,2016-03-29
TR,2016-03-29
TR,2016-06-27
TR,2016-06-27
UA,2016-06-17
UZ,2010-07-22
UZ,2010-07-22
UZ,2010-07-22
UZ,2010-07-22
UZ,2011-04-25
UZ,2011-04-25
YE,2010-02-25
YE,2010-10-15
YE,2010-10-15
YE,2010-10-15
YE,2011-03-6
YE,2011-05-25
YE,2011-05-25
YE,2011-09-2
YE,2011-09-2
YE,2012-03-27
YE,2012-11-19
YE,2016-06-28
